Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées,Densite de la Station
16107,Benjamin Godard - Victor Hugo,OUI,31,29,2,0,2,OUI,OUI,2025-03-13T06:00:24+00:00,"48.865983, 2.275725",Paris,75056,0.06451612903225806
44015,Rouget de L'isle - Watteau,OUI,20,5,15,1,14,OUI,OUI,2025-03-13T06:00:54+00:00,"48.778192750803, 2.3963020229163",Vitry-sur-Seine,94081,0.75
40001,Hôpital Mondor,OUI,28,10,18,10,8,OUI,OUI,2025-03-13T05:59:46+00:00,"48.798922410229, 2.4537451531298",Créteil,94028,0.6428571428571429
9020,Toudouze - Clauzel,OUI,21,19,2,2,0,OUI,OUI,2025-03-13T05:53:08+00:00,"48.87929591733507, 2.3373600840568547",Paris,75056,0.09523809523809523
14014,Jourdan - Stade Charléty,OUI,60,49,11,4,7,OUI,OUI,2025-03-13T05:58:13+00:00,"48.819428333369, 2.3433353751898",Paris,75056,0.18333333333333332
14111,Cassini - Denfert-Rochereau,OUI,23,20,3,1,2,OUI,OUI,2025-03-13T05:58:01+00:00,"48.837525839067, 2.3360354080796",Paris,75056,0.13043478260869565
32017,Basilique,OUI,20,13,7,0,7,OUI,OUI,2025-03-13T05:56:40+00:00,"48.93626891059109, 2.3588666820200914",Saint-Denis,93066,0.35
8026,Messine - Place Du Pérou,OUI,12,11,1,1,0,OUI,OUI,2025-03-13T05:52:24+00:00,"48.875448033960744, 2.315508019010038",Paris,75056,0.08333333333333333
11104,Charonne - Robert et Sonia Delaunay,OUI,20,11,9,0,9,OUI,OUI,2025-03-13T05:51:19+00:00,"48.855907555969, 2.3925706744194",Paris,75056,0.45
7002,Vaneau - Sèvres,OUI,35,8,27,22,5,OUI,OUI,2025-03-13T06:00:51+00:00,"48.848563233059, 2.3204218259346",Paris,75056,0.7714285714285715
13007,Le Brun - Gobelins,OUI,46,9,37,26,11,OUI,OUI,2025-03-13T06:00:40+00:00,"48.835092787824, 2.3534681351338",Paris,75056,0.8043478260869565
5110,Lacépède - Monge,OUI,23,23,0,0,0,OUI,OUI,2025-03-13T05:55:05+00:00,"48.84389286531899, 2.3519663885235786",Paris,75056,0.0
