Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées,Densite de la Station,hour,latitude,longitude,arrondissement
16107,Benjamin Godard - Victor Hugo,OUI,32,28,4,1,3,OUI,OUI,2025-03-13 10:01:10+00:00,"48.865983, 2.275725",Paris,75056,0.125,10,48.865983,2.275725,16.0
40001,Hôpital Mondor,OUI,28,10,18,9,9,OUI,OUI,2025-03-13 10:00:21+00:00,"48.798922410229, 2.4537451531298",Créteil,94028,0.6428571428571429,10,48.798922410229,2.4537451531298,Hors Paris
44015,Rouget de L'isle - Watteau,OUI,20,8,12,0,12,OUI,OUI,2025-03-13 09:56:43+00:00,"48.778192750803, 2.3963020229163",Vitry-sur-Seine,94081,0.6,10,48.778192750803,2.3963020229163,Hors Paris
9020,Toudouze - Clauzel,OUI,21,19,2,0,2,OUI,OUI,2025-03-13 09:57:53+00:00,"48.87929591733507, 2.3373600840568547",Paris,75056,0.09523809523809523,10,48.87929591733507,2.3373600840568547,9.0
14014,Jourdan - Stade Charléty,OUI,59,54,5,3,2,OUI,OUI,2025-03-13 09:59:33+00:00,"48.819428333369, 2.3433353751898",Paris,75056,0.0847457627118644,10,48.819428333369,2.3433353751898,14.0
14111,Cassini - Denfert-Rochereau,OUI,23,11,12,4,8,OUI,OUI,2025-03-13 10:00:00+00:00,"48.837525839067, 2.3360354080796",Paris,75056,0.5217391304347826,10,48.837525839067,2.3360354080796,14.0
32017,Basilique,OUI,20,11,9,2,7,OUI,OUI,2025-03-13 09:55:14+00:00,"48.93626891059109, 2.3588666820200914",Saint-Denis,93066,0.45,10,48.93626891059109,2.3588666820200914,Hors Paris
11104,Charonne - Robert et Sonia Delaunay,OUI,20,20,0,0,0,OUI,OUI,2025-03-13 09:53:17+00:00,"48.855907555969, 2.3925706744194",Paris,75056,0.0,10,48.855907555969,2.3925706744194,11.0
6003,Saint-Sulpice,OUI,21,10,11,8,3,OUI,OUI,2025-03-13 10:01:03+00:00,"48.85165383178419, 2.3308077827095985",Paris,75056,0.5238095238095238,10,48.85165383178419,2.3308077827095985,6.0
8026,Messine - Place Du Pérou,OUI,12,0,12,11,1,OUI,OUI,2025-03-13 09:59:42+00:00,"48.875448033960744, 2.315508019010038",Paris,75056,1.0,10,48.875448033960744,2.315508019010038,8.0
7002,Vaneau - Sèvres,OUI,35,15,20,15,5,OUI,OUI,2025-03-13 10:00:06+00:00,"48.848563233059, 2.3204218259346",Paris,75056,0.5714285714285714,10,48.848563233059,2.3204218259346,7.0
13007,Le Brun - Gobelins,OUI,47,31,16,13,3,OUI,OUI,2025-03-13 10:00:05+00:00,"48.835092787824, 2.3534681351338",Paris,75056,0.3404255319148936,10,48.835092787824,2.3534681351338,13.0
5110,Lacépède - Monge,OUI,23,21,2,0,2,OUI,OUI,2025-03-13 10:01:22+00:00,"48.84389286531899, 2.3519663885235786",Paris,75056,0.08695652173913043,10,48.84389286531899,2.3519663885235786,5.0
42016,Pierre et Marie Curie - Maurice Thorez,OUI,26,23,3,1,2,OUI,OUI,2025-03-13 09:56:47+00:00,"48.81580226360801, 2.376804985105991",Ivry-sur-Seine,94041,0.11538461538461539,10,48.81580226360801,2.376804985105991,Hors Paris
6108,Saint-Romain - Cherche-Midi,OUI,16,10,6,4,2,OUI,OUI,2025-03-13 09:59:34+00:00,"48.84708159081946, 2.321374788880348",Paris,75056,0.375,10,48.84708159081946,2.321374788880348,6.0
21010,Silly - Galliéni,OUI,25,17,8,5,3,OUI,OUI,2025-03-13 10:00:27+00:00,"48.835583838706, 2.2325500845909",Boulogne-Billancourt,92012,0.32,10,48.835583838706,2.2325500845909,Hors Paris
33006,André Karman - République,OUI,30,22,8,4,4,OUI,OUI,2025-03-13 10:00:33+00:00,"48.91039875761846, 2.3851355910301213",Aubervilliers,93001,0.26666666666666666,10,48.91039875761846,2.3851355910301213,Hors Paris
32304,Charcot - Benfleet,OUI,28,27,1,0,1,NON,NON,2025-03-13 09:51:45+00:00,"48.878370277021, 2.440523876268",Romainville,93063,0.03571428571428571,10,48.878370277021,2.440523876268,Hors Paris
40011,Bas du Mont-Mesly,OUI,26,18,8,5,3,OUI,OUI,2025-03-13 10:01:22+00:00,"48.779035118572, 2.4609763908985",Créteil,94028,0.3076923076923077,10,48.779035118572,2.4609763908985,Hors Paris
7003,Square Boucicaut,OUI,59,21,38,18,20,OUI,OUI,2025-03-13 09:59:36+00:00,"48.851296433665276, 2.325061820447445",Paris,75056,0.6440677966101694,10,48.851296433665276,2.325061820447445,7.0
25006,Place Nelson Mandela,OUI,22,20,2,2,0,OUI,OUI,2025-03-13 09:59:24+00:00,"48.862453313908, 2.1961666225454",Rueil-Malmaison,92063,0.09090909090909091,10,48.862453313908,2.1961666225454,Hors Paris
17041,Guersant - Gouvion-Saint-Cyr,OUI,33,24,9,5,4,OUI,OUI,2025-03-13 09:58:09+00:00,"48.88287775178599, 2.287667370814871",Paris,75056,0.2727272727272727,10,48.88287775178599,2.287667370814871,17.0
30002,Jean Rostand - Paul Vaillant Couturier,OUI,39,27,12,7,5,OUI,OUI,2025-03-13 10:01:04+00:00,"48.908168131015, 2.4530601033354",Bobigny,93008,0.3076923076923077,10,48.908168131015,2.4530601033354,Hors Paris
11025,Froment - Bréguet,OUI,43,24,19,8,11,OUI,OUI,2025-03-13 10:00:10+00:00,"48.8570414504784, 2.37289470306807",Paris,75056,0.4418604651162791,10,48.8570414504784,2.37289470306807,11.0
5016,Thouin - Cardinal Lemoine,OUI,16,4,12,0,12,OUI,OUI,2025-03-13 10:01:19+00:00,"48.84504716661511, 2.3494647851273465",Paris,75056,0.75,10,48.84504716661511,2.3494647851273465,5.0
15047,Morillons - Dantzig,OUI,51,51,0,0,0,OUI,OUI,2025-03-13 09:53:05+00:00,"48.83310149953933, 2.299380004405976",Paris,75056,0.0,10,48.83310149953933,2.299380004405976,15.0
17026,Jouffroy d'Abbans - Wagram,OUI,39,20,19,11,8,OUI,OUI,2025-03-13 09:57:32+00:00,"48.881973298352, 2.301132157445",Paris,75056,0.48717948717948717,10,48.881973298352,2.301132157445,17.0
15202,Bracion - Périphérique,OUI,30,21,9,4,5,OUI,OUI,2025-03-13 10:01:06+00:00,"48.826103771275, 2.3004549373748",Paris,75056,0.3,10,48.826103771275,2.3004549373748,15.0
6021,Beaux-Arts - Bonaparte,OUI,20,2,18,11,7,OUI,OUI,2025-03-13 10:00:06+00:00,"48.856451985396, 2.3348518833518",Paris,75056,0.9,10,48.856451985396,2.3348518833518,6.0
2022,Saint-Fiacre - Poissonière,OUI,33,4,29,16,13,OUI,OUI,2025-03-13 10:00:56+00:00,"48.870828911558, 2.3459213599563",Paris,75056,0.8787878787878788,10,48.870828911558,2.3459213599563,2.0
12109,Mairie du 12ème,OUI,29,27,2,2,0,OUI,OUI,2025-03-13 10:00:01+00:00,"48.840855311763, 2.3875549435616",Paris,75056,0.06896551724137931,10,48.840855311763,2.3875549435616,12.0
20143,Ramponeau - Belleville,OUI,44,42,2,2,0,OUI,OUI,2025-03-13 10:01:21+00:00,"48.871031137596, 2.379056852114",Paris,75056,0.045454545454545456,10,48.871031137596,2.379056852114,20.0
8050,Boétie - Ponthieu,OUI,43,2,41,11,30,OUI,OUI,2025-03-13 10:01:00+00:00,"48.871417284355, 2.3076787590981",Paris,75056,0.9534883720930233,10,48.871417284355,2.3076787590981,8.0
15068,Général Martial Valin - Pont du Garigliano,OUI,14,1,13,5,8,OUI,OUI,2025-03-13 09:54:25+00:00,"48.83823094269141, 2.270506024360657",Paris,75056,0.9285714285714286,10,48.83823094269141,2.270506024360657,15.0
13101,Croulebarde - Corvisart,OUI,33,25,8,6,2,OUI,OUI,2025-03-13 10:01:12+00:00,"48.830981659316855, 2.3481646925210953",Paris,75056,0.24242424242424243,10,48.830981659316855,2.3481646925210953,13.0
19027,Serrurier,OUI,18,18,0,0,0,OUI,OUI,2025-03-13 09:57:33+00:00,"48.880493403246, 2.398064173758",Paris,75056,0.0,10,48.880493403246,2.398064173758,19.0
14108,Le Brix et Mesmin - Jourdan,OUI,19,18,1,1,0,OUI,OUI,2025-03-13 09:58:36+00:00,"48.82234096593411, 2.327861653302471",Paris,75056,0.05263157894736842,10,48.82234096593411,2.327861653302471,14.0
44017,Jules Guesde - Pont du Port à l'Anglais,OUI,26,1,25,24,1,OUI,OUI,2025-03-13 09:59:16+00:00,"48.79628807093802, 2.417212128639221",Vitry-sur-Seine,94081,0.9615384615384616,10,48.79628807093802,2.417212128639221,Hors Paris
31024,Romainville - Vaillant-Couturier,OUI,36,35,1,0,1,OUI,OUI,2025-03-13 10:00:03+00:00,"48.86785, 2.446748",Montreuil,93048,0.027777777777777776,10,48.86785,2.446748,Hors Paris
9008,Tour d'Auvergne - Rodier,OUI,16,15,1,0,1,OUI,OUI,2025-03-13 10:00:55+00:00,"48.879161, 2.343698",Paris,75056,0.0625,10,48.879161,2.343698,9.0
17044,Porte de Saint-Ouen - Bessières,OUI,42,34,8,3,5,OUI,OUI,2025-03-13 09:59:08+00:00,"48.89792240854517, 2.32851451022192",Paris,75056,0.19047619047619047,10,48.89792240854517,2.32851451022192,17.0
14013,Liard - Amiral Mouchez,OUI,26,23,3,1,2,OUI,OUI,2025-03-13 09:58:10+00:00,"48.8214169, 2.342167",Paris,75056,0.11538461538461539,10,48.8214169,2.342167,14.0
19033,Cambrai - Benjamin Constant,OUI,40,33,7,2,5,OUI,OUI,2025-03-13 09:59:14+00:00,"48.89594736851349, 2.381133802246315",Paris,75056,0.175,10,48.89594736851349,2.381133802246315,19.0
15112,Vigée-Lebrun - Anselme Payen,OUI,23,20,3,3,0,OUI,OUI,2025-03-13 10:00:24+00:00,"48.838683941628375, 2.3110422492027287",Paris,75056,0.13043478260869565,10,48.838683941628375,2.3110422492027287,15.0
17025,Chazelles - Courcelles,OUI,33,14,19,3,16,OUI,OUI,2025-03-13 10:00:43+00:00,"48.879406604954, 2.3034455627202988",Paris,75056,0.5757575757575758,10,48.879406604954,2.3034455627202988,17.0
9002,Abbeville - Faubourg Poissonnière,OUI,13,11,2,2,0,OUI,OUI,2025-03-13 09:55:53+00:00,"48.879223, 2.349147",Paris,75056,0.15384615384615385,10,48.879223,2.349147,9.0
21326,Moulin de Pierre - Abbé Grégoire,OUI,20,18,2,0,2,OUI,OUI,2025-03-13 09:55:47+00:00,"48.822036188382, 2.2754641655975",Issy-les-Moulineaux,92040,0.1,10,48.822036188382,2.2754641655975,Hors Paris
16110,Octave Feuillet - Albéric Magnard,OUI,21,2,19,3,16,OUI,OUI,2025-03-13 09:59:32+00:00,"48.86106902949534, 2.2730283066630363",Paris,75056,0.9047619047619048,10,48.86106902949534,2.2730283066630363,16.0
43002,Lagny - Victor Basch,OUI,24,17,7,5,2,OUI,OUI,2025-03-13 09:59:13+00:00,"48.84884147189881, 2.426325418925233",Vincennes,94080,0.2916666666666667,10,48.84884147189881,2.426325418925233,Hors Paris
43009,Place Jean-Spire-Lemaître,OUI,48,48,0,0,0,OUI,OUI,2025-03-13 09:52:39+00:00,"48.8468428626593, 2.452062070369721",Vincennes,94080,0.0,10,48.8468428626593,2.452062070369721,Hors Paris
16138,Saint-Cloud - Hippodrome,OUI,30,22,8,3,5,OUI,OUI,2025-03-13 09:55:29+00:00,"48.85772148887421, 2.2549109905958176",Paris,75056,0.26666666666666666,10,48.85772148887421,2.2549109905958176,16.0
17032,Jean Oestreicher - Porte de Champerret,OUI,21,4,17,9,8,OUI,OUI,2025-03-13 10:01:12+00:00,"48.88655580065981, 2.288640439510346",Paris,75056,0.8095238095238095,10,48.88655580065981,2.288640439510346,17.0
21216,Louis Lejeune - Barbès,OUI,24,23,1,0,1,OUI,OUI,2025-03-13 09:51:48+00:00,"48.81807418981508, 2.3267009854316716",Montrouge,92049,0.041666666666666664,10,48.81807418981508,2.3267009854316716,Hors Paris
